,builder_name,projects_total,projects_completed
0,Darshanam Group,50,34
1,Nyalkaran Group,30,13
2,Kanha Group,23,14
3,Nilamber Group,21,15
4,Narayan Realty,20,16
5,Ananta Group,18,14
6,Earth Group Gujarat,18,17
7,Pawan Group,19,16
8,Raama Group,18,12
9,Samanvay Realty,20,14
10,Darshanam Group,50,34
11,Nyalkaran Group,30,13
12,Kanha Group,23,14
13,Nilamber Group,21,15
14,Narayan Realty,20,16
15,Ananta Group,18,14
16,Earth Group Gujarat,18,17
17,Pawan Group,19,16
18,Raama Group,18,12
19,Samanvay Realty,20,14
20,Darshanam Group,50,34
21,Nyalkaran Group,30,13
22,Kanha Group,23,14
23,Nilamber Group,21,15
24,Narayan Realty,20,16
25,Ananta Group,18,14
26,Earth Group Gujarat,18,17
27,Pawan Group,19,16
28,Raama Group,18,12
29,Samanvay Realty,20,14
30,Darshanam Group,50,34
31,Nyalkaran Group,30,13
32,Kanha Group,23,14
33,Nilamber Group,21,15
34,Narayan Realty,20,16
35,Ananta Group,18,14
36,Earth Group Gujarat,18,17
37,Pawan Group,19,16
38,Raama Group,18,12
39,Samanvay Realty,20,14
40,Darshanam Group,50,34
41,Nyalkaran Group,30,13
42,Kanha Group,23,14
43,Nilamber Group,21,15
44,Narayan Realty,20,16
45,Ananta Group,18,14
46,Earth Group Gujarat,18,17
47,Pawan Group,19,16
48,Raama Group,18,12
49,Samanvay Realty,20,14
50,Darshanam Group,50,34
51,Nyalkaran Group,30,13
52,Kanha Group,23,14
53,Nilamber Group,21,15
54,Narayan Realty,20,16
55,Ananta Group,18,14
56,Earth Group Gujarat,18,17
57,Pawan Group,19,16
58,Raama Group,18,12
59,Samanvay Realty,20,14
60,Darshanam Group,50,34
61,Nyalkaran Group,30,13
62,Kanha Group,23,14
63,Nilamber Group,21,15
64,Narayan Realty,20,16
65,Ananta Group,18,14
66,Earth Group Gujarat,18,17
67,Pawan Group,19,16
68,Raama Group,18,12
69,Samanvay Realty,20,14
