,name,projects_total,projects_completed
0,Pacifica Companies,8 Projects in Vadodara,6 Completed
1,Akshar Group,14 Projects in Vadodara,9 Completed
2,Sangani Infrastructure India Pvt. Ltd.,3 Projects in Vadodara,1 Completed
3,Shreenath Group,12 Projects in Vadodara,10 Completed
4,Nilamber Group,23 Projects in Vadodara,18 Completed
5,Pratham Enterprises,14 Projects in Vadodara,12 Completed
6,J P Iscon,2 Projects in Vadodara,2 Completed
7,Narayan Realty Ltd.,11 Projects in Vadodara,8 Completed
8,Alembic Group Alchemy Real Estate,2 Projects in Vadodara,2 Completed
9,Shreeji Infrastucture,2 Projects in Vadodara,1 Completed
10,Kanha Group,22 Projects in Vadodara,"11 Completed
|
2 Ongoing"
11,Shreeji Infra,5 Projects in Vadodara,3 Completed
12,ParkSpace Group,4 Projects in Vadodara,
13,Orchid Group,2 Projects in Vadodara,1 Completed
14,Lilleria Group,16 Projects in Vadodara,6 Completed
15,Global Garner Services Pvt. Ltd.,2 Projects in Vadodara,2 Completed
16,Labh Group,7 Projects in Vadodara,7 Completed
17,Samanvay Realty,26 Projects in Vadodara,6 Completed
18,Kamlesh Gandhi Projects,25 Projects in Vadodara,22 Completed
19,Courtyard Group,5 Projects in Vadodara,
20,Parsvnath Developers Ltd.,1 Project in Vadodara,
21,Fortune Developers,1 Project in Vadodara,1 Completed
22,Venus Group of Companies,1 Project in Vadodara,
23,Alembic Real Estate,5 Projects in Vadodara,4 Completed
24,Sky Seven Infratech Pvt. Ltd.,5 Projects in Vadodara,2 Completed
25,Aim Infrastructure,2 Projects in Vadodara,2 Completed
26,Param Group,1 Project in Vadodara,
27,Kailash Infratech,1 Project in Vadodara,1 Completed
28,Kalp Group,3 Projects in Vadodara,2 Completed
29,Aaradhya Associates,1 Project in Vadodara,
30,Raj Realty,2 Projects in Vadodara,1 Completed
31,SHREE MAHAVIR ENTERPRISE,1 Project in Vadodara,
32,Prapti Homes,5 Projects in Vadodara,3 Completed
33,Athashree Infra,1 Project in Vadodara,
34,Keshavam Infrastructure,1 Project in Vadodara,
35,Shree Radhe Infra,3 Projects in Vadodara,1 Ongoing
36,Samruddhi Builders,8 Projects in Vadodara,
37,Avadh Developers,1 Project in Vadodara,
38,Govardhan Infra,1 Project in Vadodara,
39,Nandkishor Developers,1 Project in Vadodara,
40,Aditya Group,3 Projects in Vadodara,3 Completed
41,Bakeri Group,1 Project in Vadodara,1 Completed
42,JP Iscon Group,2 Projects in Vadodara,2 Completed
43,Vinayak Builders,1 Project in Vadodara,1 Completed
44,Akshar Infrastructure,2 Projects in Vadodara,2 Completed
45,Guru Realty,1 Project in Vadodara,
46,Pragati Associates,1 Project in Vadodara,1 Completed
47,Darshanam Group,47 Projects in Vadodara,23 Completed
48,Pawan Group,17 Projects in Vadodara,15 Completed
49,Vedant Group,10 Projects in Vadodara,8 Completed
50,Mayfair Spaces,6 Projects in Vadodara,4 Completed
51,Swaran Raga LLP,1 Project in Vadodara,
52,NRS Projects Pvt. Ltd.,8 Projects in Vadodara,"3 Completed
|
1 Ongoing"
53,OM DEVELOPERS,1 Project in Vadodara,
54,Kripa Developers,1 Project in Vadodara,1 Completed
55,Nyalkaran Developers,20 Projects in Vadodara,10 Completed
56,Mangla Group,25 Projects in Vadodara,"19 Completed
|
2 Ongoing"
57,Nand Developers,1 Project in Vadodara,1 Completed
58,Aamrapali Developers,3 Projects in Vadodara,"1 Completed
|
2 Ongoing"
59,Arch Infra,1 Project in Vadodara,1 Completed
60,Agrasen Associates,1 Project in Vadodara,1 Completed
61,Aadhya Group,7 Projects in Vadodara,2 Completed
62,Sarva Developers,1 Project in Vadodara,1 Completed
63,Shapath Group,1 Project in Vadodara,1 Completed
64,Avadh Infrastructure,1 Project in Vadodara,1 Completed
65,Makhija Infrastructure Pvt. Ltd.,1 Project in Vadodara,1 Completed
66,Akshar PHC Realcon,2 Projects in Vadodara,2 Completed
67,Fortune Realty Hub,1 Project in Vadodara,
68,Contracts Realty,1 Project in Vadodara,1 Completed
69,Vaibhav Corporation Pvt. Ltd.,19 Projects in Vadodara,15 Completed
70,Manorath Realty LLP,1 Project in Vadodara,1 Completed
71,Vallabh Heights Partnership Firm,1 Project in Vadodara,
72,Om Infra,1 Project in Vadodara,
73,Shree Ganesh Infra Homes,3 Projects in Vadodara,3 Completed
74,Darshanam Life Space Pvt. Ltd.,4 Projects in Vadodara,1 Completed
75,PS Associates,1 Project in Vadodara,1 Completed
76,Virat Associates,1 Project in Vadodara,
77,Aries Realty,2 Projects in Vadodara,1 Completed
78,Everest Group,1 Project in Vadodara,
79,Kishan Group,1 Project in Vadodara,1 Completed
80,Shree Developers,1 Project in Vadodara,
81,G Galaxy Infraspace Pvt. Ltd,1 Project in Vadodara,
82,Petal Infracon,1 Project in Vadodara,1 Completed
83,AUM Enterprise,1 Project in Vadodara,1 Completed
84,Galaxy Enterprise,1 Project in Vadodara,1 Completed
85,Rosedale Group,5 Projects in Vadodara,"4 Completed
|
1 Ongoing"
86,ADITYA GROUP,1 Project in Vadodara,
87,Akshar Aarya,1 Project in Vadodara,
88,Ghanshyam Enterprise,1 Project in Vadodara,1 Completed
89,Param Group,1 Project in Vadodara,
90,Aarchi Developers,1 Project in Vadodara,
91,NJP Infra LLP,1 Project in Vadodara,
92,NYJ Developers,1 Project in Vadodara,
93,Heaven Associates,1 Project in Vadodara,1 Completed
94,Sainath Construction,1 Project in Vadodara,
95,Sahaj Rich Build,1 Project in Vadodara,1 Completed
96,Northway Spaces Ltd.,4 Projects in Vadodara,2 Completed
97,Shivam Infra,3 Projects in Vadodara,2 Completed
98,Sunfin Realty PVT. LTD.,1 Project in Vadodara,1 Completed
99,Damodar Buildcon,1 Project in Vadodara,
100,Rudra Infra,1 Project in Vadodara,
